age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
24,Male,USA,7.113298124,Twitter,5,Education,23.19895022,1,2.984530572,High,47.8367962
20,Male,Brazil,4.25405076,Snapchat,5,Entertainment,22.81557678,0,6.873715215,Medium,20.29793714
20,Male,Australia,2.806736029,YouTube,2,Education,30.08510923,1,6.890803535,Medium,32.85136152
27,Male,India,3.486969144,Snapchat,2,Entertainment,18.24534736,1,7.695067905,Medium,23.66914985
23,Male,Australia,0.56627326,TikTok,2,Socializing,32.35952279,1,9.671459056,Low,43.6058254
15,Female,Brazil,2.272079233,Instagram,4,Entertainment,31.90431291,1,7.976839406,Low,28.6470421
13,Female,USA,4.683081452,Instagram,2,Entertainment,23.952709,0,5.160415115,Medium,51.53838815
20,Male,India,3.314722005,Snapchat,2,Socializing,16.09231377,0,9.37707414,Medium,67.4442203
15,Male,UK,3.215739691,YouTube,4,Entertainment,29.73377403,1,6.820563083,Medium,60.84953263
15,Male,USA,2.971980689,Instagram,4,Socializing,7.656841038,1,8.593660707,Medium,6.798814502
13,Female,Brazil,3.381127997,Instagram,5,Education,21.55937326,0,9.259996559,Medium,28.43195685
23,Male,USA,6.530670502,TikTok,4,Entertainment,32.35610943,1,5.436313185,High,100.0331567
17,Female,USA,6.371314414,TikTok,2,Entertainment,41.22708501,1,5.372500815,High,58.59527321
22,Male,India,2.875251347,Instagram,1,News,26.07197653,0,9.239294781,Medium,19.10940077
19,Male,USA,4.699357255,Instagram,3,Socializing,30.39009748,1,6.074884622,Medium,20.25011571
22,Male,India,2.821984403,Instagram,5,Entertainment,16.42122028,1,8.231822166,Medium,33.74871334
21,Female,India,5.656200959,Instagram,5,Education,37.51893377,1,4.547810896,High,54.71550056
24,Female,Brazil,5.548199562,TikTok,2,Entertainment,42.48617069,1,4.999110997,High,24.61356978
19,Male,Canada,1.496195601,TikTok,1,Education,12.41616098,1,8.649448887,Low,34.04328783
21,Male,USA,4.732820717,TikTok,1,Entertainment,21.20716878,0,5.828741664,Medium,39.44069202
20,Male,Brazil,2.751495142,YouTube,4,Entertainment,39.96766971,1,7.964057384,Medium,71.37895648
24,Male,India,3.956075949,Snapchat,5,Entertainment,19.8770386,1,5.869019136,Medium,26.06003485
14,Male,UK,1.153323821,TikTok,1,News,24.20262452,1,9.260323346,Low,58.53398085
13,Male,India,3.135481254,Snapchat,1,Socializing,16.43615442,0,6.662155056,Medium,17.62692387
19,Female,USA,1.81847666,Instagram,5,News,51.30292583,1,9.327690583,Low,45.91163834
19,Female,Canada,3.590268035,TikTok,2,Education,16.77010394,0,5.28306219,Medium,42.40818336
26,Female,USA,2.479510458,Instagram,5,Entertainment,15.74644666,0,7.313862636,Low,37.45181472
20,Female,Australia,4.215642054,Instagram,2,Socializing,12.68699236,1,5.0152782,Medium,4.577960184
17,Male,Canada,2.55670799,TikTok,3,News,25.86933251,0,7.863827134,Medium,34.13198797
15,Male,USA,0.5,Instagram,3,Education,45.31731195,0,10,Low,42.71211623
24,Female,India,4.848467436,Instagram,2,Socializing,10.12412591,0,5.144573724,Medium,7.279539732
20,Female,Brazil,2.156718737,Instagram,2,Education,16.69356731,1,8.511052584,Low,52.98328094
18,Female,India,2.951357338,Snapchat,2,News,20.24349846,0,6.924446871,Medium,39.53479169
23,Female,India,3.51449963,YouTube,5,Entertainment,20.3516,0,7.531944674,Medium,52.53855859
15,Female,USA,3.224332151,Snapchat,2,Socializing,25.16704656,0,8.741917058,Medium,55.70759757
13,Male,USA,3.821218614,TikTok,5,Socializing,16.38784622,1,6.355526964,Medium,33.6317259
15,Male,USA,4.07879111,Instagram,4,Education,22.6787866,0,6.515556649,Medium,48.04455631
17,Other,USA,3.878685835,Instagram,3,Entertainment,14.73012104,1,8.585640193,Medium,30.97251575
27,Female,UK,4.521048107,Instagram,5,Entertainment,24.58051372,0,7.273266655,Medium,27.43794585
26,Female,India,2.935718664,YouTube,2,Entertainment,26.25537004,1,8.296473956,Medium,50.34053255
15,Female,India,4.590449936,TikTok,5,News,27.5114802,1,5.61822115,Medium,45.20733636
13,Female,India,3.843918949,YouTube,2,Content Creation,20.48538667,0,7.904857353,Medium,82.61542776
17,Male,Canada,3.636157662,Snapchat,3,Entertainment,44.09281139,1,7.070406632,Medium,37.33171452
22,Male,UK,3.964688608,TikTok,3,Entertainment,22.26766481,1,8.106711737,Medium,68.31267997
19,Male,India,3.483433239,Instagram,3,Education,21.38106014,0,6.032180865,Medium,67.76397315
27,Male,USA,2.524087019,Snapchat,2,Entertainment,22.87416359,1,7.986199454,Medium,43.19031787
26,Male,Canada,4.015872655,TikTok,1,Education,48.42773775,0,6.065514458,Medium,10.27257261
19,Female,Germany,1.630531518,TikTok,3,Content Creation,33.4732468,1,8.784607196,Low,48.64052686
23,Female,USA,1.716454909,YouTube,2,Entertainment,15.45171466,1,10,Low,48.1214922
21,Male,India,3.44738039,TikTok,2,Entertainment,29.94225672,0,7.8684951,Medium,27.07710796
27,Female,Canada,3.257144069,Instagram,5,Socializing,37.50675652,0,7.839962658,Medium,8.225843453
27,Male,India,4.102246197,YouTube,3,Content Creation,13.46475837,1,7.317661971,Medium,12.53666441
22,Female,India,4.119131851,TikTok,3,Entertainment,23.19735154,1,6.434087767,Medium,37.43646051
22,Other,Canada,3.371316976,Instagram,5,Socializing,10.07516195,0,9.371554152,Medium,21.21539474
24,Female,India,5.192943141,Snapchat,3,Entertainment,26.79945947,1,6.363458312,High,35.41298438
25,Female,Brazil,2.669175097,Twitter,5,Education,32.6683998,0,7.1302309,Medium,22.81796342
15,Female,Canada,2.879284118,Instagram,2,Entertainment,5,1,8.261391071,Medium,30.13627723
27,Male,India,2.642326977,Snapchat,2,Entertainment,13.9350623,0,7.721216518,Medium,53.45687009
19,Female,Germany,2.467618101,Twitter,5,Education,39.41393968,1,8.745299292,Low,67.17837912
13,Male,India,4.74470277,TikTok,1,Socializing,38.7752218,1,5.41900738,Medium,50.85446144
16,Male,Brazil,0.779926147,Twitter,4,Socializing,17.56792223,1,10,Low,64.12602664
25,Female,Brazil,0.852931842,Instagram,4,News,31.87208647,1,9.414371271,Low,56.87753107
16,Male,India,3.587809398,Instagram,3,Socializing,7.708415175,0,7.645064513,Medium,29.22917517
26,Male,India,6.10411089,TikTok,4,Education,13.01291258,1,6.384736142,High,30.03052227
17,Male,UK,5.429084521,YouTube,3,Socializing,22.54255689,1,6.091202712,High,48.14402094
19,Male,India,3.219160176,Instagram,2,Entertainment,21.85402032,1,7.772649953,Medium,56.59691025
19,Female,India,4.585083887,Snapchat,2,Entertainment,22.70002666,0,5.288404075,Medium,60.92253726
25,Male,Brazil,3.923221896,Instagram,1,Entertainment,36.42930754,1,6.55110897,Medium,40.17208756
27,Male,India,3.523198013,TikTok,1,Education,39.77612161,0,7.015091723,Medium,22.82545822
23,Female,Brazil,5.51637408,YouTube,4,News,34.81111313,1,6.289225278,High,65.57529412
25,Male,India,4.428497545,YouTube,2,News,32.73364434,0,7.772180346,Medium,40.46341689
16,Male,UK,3.047679612,TikTok,2,Entertainment,41.18662282,1,7.220540974,Medium,39.75625906
25,Other,UK,4.040412351,TikTok,2,Socializing,31.18025552,1,5.458755885,Medium,40.02526472
19,Male,Germany,3.892194236,Instagram,3,Socializing,39.73985192,0,6.614713572,Medium,0
23,Male,Germany,4.78218436,YouTube,1,Entertainment,15.10256731,0,5.448483112,Medium,41.45395857
15,Male,India,4.943211555,Snapchat,2,Entertainment,9.385672578,0,6.277082249,Medium,63.94339664
18,Male,UK,3.537720408,TikTok,3,Entertainment,14.21392481,1,7.974208367,Medium,29.58139757
24,Male,Germany,3.336960892,Twitter,2,Education,22.92634249,1,7.663883589,Medium,47.75914201
14,Male,UK,3.688394375,TikTok,5,Entertainment,25.05919322,0,6.013571386,Medium,10.73221994
22,Male,UK,0.897092254,YouTube,1,Socializing,5,1,9.533147847,Low,46.83987149
25,Male,UK,0.991191224,TikTok,5,Entertainment,15.6389582,1,9.756206989,Low,30.84034578
26,Female,India,3.870328813,YouTube,5,Entertainment,53.77411708,1,6.826430733,Medium,43.03289345
21,Male,India,3.761317729,Snapchat,2,Socializing,26.47313771,1,6.379139806,Medium,35.71545729
17,Female,USA,4.632457382,TikTok,3,Entertainment,22.57147507,0,6.860935833,Medium,16.50174614
18,Male,Australia,2.444235889,TikTok,5,Entertainment,26.12863682,0,7.994497394,Low,32.04119425
24,Male,India,6.142082298,Snapchat,1,Socializing,13.64158911,1,3.719144029,High,35.83341734
24,Female,India,2.870822553,TikTok,1,Entertainment,13.12774285,1,6.703690654,Medium,63.32322085
24,Male,Brazil,2.06082606,TikTok,3,Education,15.47179773,0,9.97755632,Low,54.8620885
24,Female,USA,0.5,YouTube,1,Entertainment,24.68299421,0,9.372098617,Low,57.92669195
16,Male,Brazil,2.505662796,YouTube,1,Entertainment,26.59546187,1,8.405899609,Medium,24.71443165
26,Male,UK,1.603503222,YouTube,4,Entertainment,18.93628791,1,9.113077445,Low,44.73497106
26,Female,India,4.299867471,TikTok,5,Socializing,21.68664798,1,6.924077436,Medium,31.90233158
23,Male,Brazil,5.032667447,Instagram,5,Entertainment,34.63882118,1,7.451015986,High,63.15954958
22,Male,Brazil,4.939858822,Snapchat,2,Socializing,10.53774896,1,6.833462033,Medium,20.40971928
19,Female,Canada,3.038289401,Twitter,1,Entertainment,19.75953755,0,5.654589167,Medium,41.2161879
24,Female,India,4.014112743,YouTube,3,Entertainment,35.9674536,0,7.743545514,Medium,49.22475673
21,Male,Brazil,3.669166111,Instagram,3,News,21.08149811,1,6.243621469,Medium,33.88040195
19,Female,Canada,4.781702335,TikTok,2,Entertainment,33.09119298,1,6.13507836,Medium,20.25411566
26,Male,UK,3.838593142,TikTok,5,Socializing,29.10561948,1,6.739118544,Medium,26.78043291
13,Male,USA,1.495471324,TikTok,3,Socializing,37.18232625,1,9.22523303,Low,54.82546578
13,Female,USA,3.569294295,YouTube,1,Entertainment,14.74489371,1,8.525421719,Medium,30.92921232
21,Male,UK,3.689526039,TikTok,3,Socializing,30.66372535,1,7.272184802,Medium,21.78249814
23,Female,Brazil,1.700341584,TikTok,3,Entertainment,25.44063363,0,7.439846574,Low,37.32145759
26,Female,Canada,2.427871928,YouTube,1,News,20.21099841,1,6.958387608,Low,42.94567666
21,Female,India,2.412258395,Twitter,1,Entertainment,19.20355582,1,7.620588008,Low,84.65502422
16,Female,Australia,2.926503261,Instagram,4,Entertainment,19.05719255,1,7.015342485,Medium,8.675785654
25,Male,India,4.493581548,TikTok,5,Content Creation,14.62089454,0,5.841751326,Medium,23.4550258
21,Female,Canada,4.351897756,YouTube,3,News,21.04260637,0,8.104355777,Medium,22.76946695
15,Male,Canada,3.752054981,YouTube,4,Entertainment,15.95421842,0,8.621821845,Medium,27.57302644
19,Male,USA,2.652431402,Instagram,1,News,26.1566249,1,7.643017616,Medium,72.81267904
18,Male,India,4.300105911,Snapchat,1,Entertainment,30.96977628,0,7.795082439,Medium,0
20,Female,USA,2.209558904,TikTok,3,Entertainment,40.13685433,1,6.526851206,Low,27.49092501
23,Male,Brazil,3.355251848,YouTube,1,Education,13.0833568,1,8.469053868,Medium,29.21279891
21,Male,USA,1.349179475,Instagram,1,News,30.8151629,0,7.349460129,Low,15.96841016
26,Female,India,3.817260442,TikTok,4,Socializing,18.49783969,1,8.65856634,Medium,58.9589528
17,Male,India,1.700641669,Twitter,5,Socializing,22.6911529,1,6.353229201,Low,36.32637885
13,Female,Australia,3.86948136,Twitter,4,Entertainment,31.66278304,1,6.713406486,Medium,26.55601117
15,Male,India,2.778037197,TikTok,5,News,25.87009618,1,8.770528239,Medium,57.48522454
22,Other,Germany,3.992433772,TikTok,5,Socializing,31.32304873,1,5.225839934,Medium,81.67951189
24,Male,USA,1.877904278,TikTok,5,Content Creation,28.17571894,0,8.631336125,Low,81.71501235
20,Male,India,2.403963325,TikTok,3,Education,23.7014773,0,8.190389328,Low,46.923314
27,Female,USA,2.01032196,Snapchat,2,Socializing,26.26159518,0,7.577660346,Low,41.47280316
23,Male,UK,1.559865578,YouTube,2,Education,9.559003704,0,9.389955638,Low,30.9928957
18,Female,Australia,4.928977693,TikTok,3,Education,12.86341899,0,7.390584652,Medium,47.04196428
20,Male,India,4.080280661,Instagram,1,Socializing,37.25639963,1,6.142753408,Medium,60.10004673
21,Male,India,1.921404842,Instagram,3,Education,31.01703239,1,8.009505859,Low,104.8499244
16,Male,India,3.75168573,Instagram,2,Entertainment,34.5351701,0,6.31419027,Medium,30.69683458
13,Female,India,2.529006832,Twitter,2,Entertainment,8.037808407,0,8.134174493,Medium,56.91381867
26,Female,India,2.49851781,TikTok,2,Entertainment,28.44631031,1,8.580201706,Low,49.55667322
13,Male,USA,2.907886187,TikTok,1,Socializing,36.2212835,0,6.962250989,Medium,74.28991394
22,Male,India,3.819617454,Instagram,2,Entertainment,21.41005152,0,7.001499382,Medium,47.6359474
16,Male,India,5.006419332,Twitter,3,Education,31.42646047,1,7.671279549,High,72.72235152
24,Female,Germany,2.939083347,TikTok,4,Education,17.80048756,0,8.78697095,Medium,30.78074428
26,Male,India,2.510183568,TikTok,2,News,28.40413868,0,7.934358405,Medium,43.45703338
19,Female,Germany,2.548559588,Snapchat,2,Entertainment,34.58199366,1,9.328012372,Medium,59.61881178
14,Female,Brazil,5.236233551,Instagram,3,Entertainment,26.75279834,0,6.422531629,High,55.84138126
15,Male,USA,3.404410987,Snapchat,1,Entertainment,38.64372247,1,8.780707714,Medium,37.79641332
13,Female,USA,3.840458302,Twitter,4,Content Creation,25.84554947,0,7.484723494,Medium,49.48043604
17,Female,Canada,0.987797956,Snapchat,5,Education,5.670267177,1,8.718936342,Low,65.24764689
13,Male,UK,3.439193901,Snapchat,2,Entertainment,28.61924966,1,7.675986736,Medium,76.40912383
20,Male,Australia,2.199009743,Snapchat,4,Education,11.06062239,1,7.460654729,Low,41.04877141
13,Female,Germany,3.486982325,YouTube,1,Entertainment,13.86650591,1,7.106724454,Medium,35.93972484
23,Other,India,1.471404207,Instagram,4,Socializing,31.71098838,0,9.188364694,Low,46.07238248
13,Male,Germany,1.906586319,Instagram,3,News,27.5166627,0,8.121052475,Low,26.78442679
14,Male,USA,4.731587306,YouTube,2,News,35.42165556,1,6.38011794,Medium,61.25445538
